Major,Total,Rank,Major_code,Men,Women,old,Major_category,Median,Space,ShareWomen,Sample_size,Employed,Full_time,Part_time,Full_time_year_round,Unemployed,Unemployment_rate,P25th,P75th,College_jobs,Non_college_jobs,Low_wage_jobs,Total_bin,temp,Median_bin,old_hist_column,old_midpoint,Histogram_column,rank1,midpoint
"Office Clerks, General",3421678.816,,,,,Office and Admin Support,"Cannot work remotely, non-essential",32700,Office,,,,,,,,,,,,,,,,,3,122250,41,41,30000
"Office Machine Operators, Except Computer",50817.01933,,,,,Office and Admin Support,"Cannot work remotely, non-essential",32800,Office,,,,,,,,,,,,,,,,,3,124750,42,42,30000
Fishers and Related Fishing Workers,22571.93495,,,,,"Farming, Fishing, and Forestry","Cannot work remotely, essential",32800,Other/Mixed,,,,,,,,,,,,,,,,,3,127250,43,43,30000
Light Truck or Delivery Services Drivers,983412.0374,,,,,Transportation and Material Moving,"Cannot work remotely, essential",32800,Industrial,,,,,,,,,,,,,,,,,3,129750,44,44,30000
Psychiatric Technicians,79749.5039,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",32900,Institutional,,,,,,,,,,,,,,,,,3,132250,45,45,30000
Print Binding and Finishing Workers,45559.4134,,,,,Production,"Cannot work remotely, non-essential",32900,Industrial,,,,,,,,,,,,,,,,,3,134750,46,46,30000
Order Clerks,170610.5808,,,,,Office and Admin Support,Job can be conducted virtually,33000,Office,,,,,,,,,,,,,,,,,3,137250,47,47,30000
"Shipping, Receiving, and Traffic Clerks",669235.4972,,,,,Office and Admin Support,Job can be conducted virtually,33000,Institutional,,,,,,,,,,,,,,,,,3,139750,48,48,30000
Conveyor Operators and Tenders,26084.60832,,,,,Transportation and Material Moving,"Cannot work remotely, essential",33000,Industrial,,,,,,,,,,,,,,,,,3,142250,49,49,30000
Automotive Glass Installers and Repairers,22416.15575,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",33200,Industrial,,,,,,,,,,,,,,,,,3,144750,50,50,30000
Medical Transcriptionists,62964.69674,,,,,Healthcare Support,Job can be conducted virtually,33400,Office,,,,,,,,,,,,,,,,,3,147250,51,51,30000
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",25143.60422,,,,,Construction and Extraction,"Cannot work remotely, essential",33400,Industrial,,,,,,,,,,,,,,,,,3,149750,52,52,30000
Dancers,13917.28224,,,,,"Arts, Design, Entertainment, Media","Cannot work remotely, non-essential",33600,Other/Mixed,,,,,,,,,,,,,,,,,3,152250,53,53,30000
Medical Assistants,705854.0769,,,,,Healthcare Support,"Cannot work remotely, essential",33600,Institutional,,,,,,,,,,,,,,,,,3,154750,54,54,30000
Construction Laborers,1474523.322,,,,,Construction and Extraction,"Cannot work remotely, essential",33600,Industrial,,,,,,,,,,,,,,,,,3,157250,55,55,30000
Tree Trimmers and Pruners,65938.28293,,,,,Building and Grounds Cleaning and Maintenance,"Cannot work remotely, non-essential",33700,Industrial,,,,,,,,,,,,,,,,,3,159750,56,56,30000
Customer Service Representatives,2932877.148,,,,,Office and Admin Support,Job can be conducted virtually,33700,Office,,,,,,,,,,,,,,,,,3,162250,57,57,30000
Musical Instrument Repairers and Tuners,12107.62081,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, non-essential",33700,Industrial,,,,,,,,,,,,,,,,,3,164750,58,58,30000
"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",282746.6645,,,,,Production,"Cannot work remotely, essential",33700,Industrial,,,,,,,,,,,,,,,,,3,167250,59,59,30000
Social and Human Service Assistants,418177.1365,172,5203,931,3695,Community and Social Service,Job can be made virtual,33800,Institutional,0.798746217,21,3777,3154,965,2738,214,0.053620646,19200,26000,2403,1245,308,"(124.0, 20124.0]",1,"(21000, 23500]",3,169750,60,60,30000
Adhesive Bonding Machine Operators and Tenders,18393.76107,,,,,Production,"Cannot work remotely, essential",33800,Industrial,,,,,,,,,,,,,,,,,3,172250,61,61,30000
Library Technicians,115539.6619,,,,,"Education, Training, and Library",Job can be made virtual,34000,Institutional,,,,,,,,,,,,,,,,,3,174750,62,62,30000
"Interviewers, Except Eligibility and Loan",224051.7833,,,,,Office and Admin Support,Job can be conducted virtually,34000,Office,,,,,,,,,,,,,,,,,3,177250,63,63,30000
Coaches and Scouts,275248.4697,,,,,"Arts, Design, Entertainment, Media","Cannot work remotely, non-essential",34200,Other/Mixed,,,,,,,,,,,,,,,,,3,179750,64,64,30000
Radio and Television Announcers,29717.5425,,,,,"Arts, Design, Entertainment, Media",Job can be made virtual,34200,Industrial,,,,,,,,,,,,,,,,,3,182250,65,65,30000
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",20872.21514,,,,,Production,"Cannot work remotely, non-essential",34200,Industrial,,,,,,,,,,,,,,,,,3,184750,66,66,30000
Cabinetmakers and Bench Carpenters,113650.689,,,,,Production,"Cannot work remotely, non-essential",34200,Industrial,,,,,,,,,,,,,,,,,3,187250,67,67,30000
Emergency Medical Technicians and Paramedics,267936.8709,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",34300,Institutional,,,,,,,,,,,,,,,,,3,189750,68,68,30000
Fiberglass Laminators and Fabricators,24377.41931,,,,,Production,"Cannot work remotely, essential",34300,Industrial,,,,,,,,,,,,,,,,,3,192250,69,69,30000
Veterinary Technologists and Technicians,108825.2072,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",34400,Institutional,,,,,,,,,,,,,,,,,3,194750,70,70,30000
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",29272.37679,,,,,Building and Grounds Cleaning and Maintenance,"Cannot work remotely, non-essential",34400,Industrial,,,,,,,,,,,,,,,,,3,197250,71,71,30000
"Sales and Related Workers, All Other",117209.3914,,,,,Sales and Related,Job can be conducted virtually,34400,Office,,,,,,,,,,,,,,,,,3,199750,72,72,30000
"Coil Winders, Tapers, and Finishers",14444.58683,,,,,Production,"Cannot work remotely, essential",34400,Industrial,,,,,,,,,,,,,,,,,3,202250,73,73,30000
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",189967.4704,,,,,Production,"Cannot work remotely, essential",34400,Industrial,,,,,,,,,,,,,,,,,3,204750,74,74,30000
Phlebotomists,127373.0431,,,,,Healthcare Support,"Cannot work remotely, essential",34500,Institutional,,,,,,,,,,,,,,,,,3,207250,75,75,30000
Jewelers and Precious Stone and Metal Workers,39305.73425,,,,,Production,"Cannot work remotely, non-essential",34500,Industrial,,,,,,,,,,,,,,,,,3,209750,76,76,30000
Outdoor Power Equipment and Other Small Engine Mechanics,34473.50392,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",34600,Industrial,,,,,,,,,,,,,,,,,3,212250,77,77,30000
"Coin, Vending, and Amusement Machine Servicers and Repairers",35996.94135,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, non-essential",34600,Industrial,,,,,,,,,,,,,,,,,3,214750,78,78,30000
"Cutting and Slicing Machine Setters, Operators, and Tenders",62633.50867,,,,,Production,"Cannot work remotely, essential",34600,Industrial,,,,,,,,,,,,,,,,,3,217250,79,79,30000
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",91180.26154,,,,,Production,"Cannot work remotely, essential",34600,Industrial,,,,,,,,,,,,,,,,,3,219750,80,80,30000
Timing Device Assemblers and Adjusters,888.4277506,,,,,Production,"Cannot work remotely, essential",34700,Industrial,,,,,,,,,,,,,,,,,3,222250,81,81,30000
Industrial Truck and Tractor Operators,616701.5455,,,,,Transportation and Material Moving,"Cannot work remotely, essential",34700,Industrial,,,,,,,,,,,,,,,,,3,224750,82,82,30000
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",75245.85586,,,,,Production,"Cannot work remotely, essential",34800,Industrial,,,,,,,,,,,,,,,,,3,227250,83,83,30000
Hunters and Trappers,9353.436153,,,,,"Farming, Fishing, and Forestry","Cannot work remotely, essential",34900,Other/Mixed,,,,,,,,,,,,,,,,,3,229750,84,84,30000
Fence Erectors,30281.71709,,,,,Construction and Extraction,"Cannot work remotely, essential",35000,Industrial,,,,,,,,,,,,,,,,,3,232250,85,85,30000
"Office and Administrative Support Workers, All Other",272389.8692,,,,,Office and Admin Support,Job can be conducted virtually,35100,Office,,,,,,,,,,,,,,,,,3,234750,86,86,30000
Floor Sanders and Finishers,7192.451014,,,,,Construction and Extraction,"Cannot work remotely, essential",35100,Industrial,,,,,,,,,,,,,,,,,3,237250,87,87,30000
"Painters, Construction and Maintenance",423914.525,,,,,Construction and Extraction,"Cannot work remotely, essential",35100,Industrial,,,,,,,,,,,,,,,,,3,239750,88,88,30000
Paperhangers,4797.153456,,,,,Construction and Extraction,"Cannot work remotely, essential",35100,Industrial,,,,,,,,,,,,,,,,,3,242250,89,89,30000
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",75199.93274,,,,,Production,"Cannot work remotely, essential",35100,Industrial,,,,,,,,,,,,,,,,,3,244750,90,90,30000
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",77676.32309,,,,,Production,"Cannot work remotely, essential",35200,Industrial,,,,,,,,,,,,,,,,,3,247250,91,91,30000
"Rock Splitters, Quarry",5257.122527,,,,,Construction and Extraction,"Cannot work remotely, essential",35300,Industrial,,,,,,,,,,,,,,,,,3,249750,92,92,30000
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",140183.8691,,,,,Production,"Cannot work remotely, essential",35300,Industrial,,,,,,,,,,,,,,,,,3,252250,93,93,30000
Pest Control Workers,84637.72666,,,,,Building and Grounds Cleaning and Maintenance,"Cannot work remotely, non-essential",35400,Industrial,,,,,,,,,,,,,,,,,3,254750,94,94,30000
Foundry Mold and Coremakers,16201.8365,,,,,Production,"Cannot work remotely, essential",35400,Industrial,,,,,,,,,,,,,,,,,3,257250,95,95,30000
"Electronic Equipment Installers and Repairers, Motor Vehicles",12175.28346,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",35500,Industrial,,,,,,,,,,,,,,,,,3,259750,96,96,30000
Rehabilitation Counselors,110735.663,163,5502,11376,27468,Community and Social Service,Job can be made virtual,35800,Office,0.707136237,247,29633,20147,14515,13232,3395,0.102791571,20000,38000,9805,16693,6866,"(20124.0, 40124.0]",1,"(26000, 28500]",3,262250,97,97,30000
New Accounts Clerks,41211.1765,,,,,Office and Admin Support,Job can be conducted virtually,35800,Office,,,,,,,,,,,,,,,,,3,264750,98,98,30000
Medical Secretaries,605100.8424,,,,,Office and Admin Support,Job can be conducted virtually,35800,Office,,,,,,,,,,,,,,,,,3,267250,99,99,30000
Motorcycle Mechanics,16254.43228,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",35800,Industrial,,,,,,,,,,,,,,,,,3,269750,100,100,30000
Watch Repairers,6532.501746,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, non-essential",35800,Industrial,,,,,,,,,,,,,,,,,3,272250,101,101,30000
Refuse and Recyclable Material Collectors,131969.8545,,,,,Transportation and Material Moving,"Cannot work remotely, essential",35800,Industrial,,,,,,,,,,,,,,,,,3,274750,102,102,30000
"Metal Workers and Plastic Workers, All Other",28115.10733,,,,,Production,"Cannot work remotely, essential",35900,Industrial,,,,,,,,,,,,,,,,,3,277250,103,103,30000
Printing Press Operators,177831.2554,,,,,Production,"Cannot work remotely, non-essential",36000,Industrial,,,,,,,,,,,,,,,,,3,279750,104,104,30000
Bill and Account Collectors,256277.4769,,,,,Office and Admin Support,Job can be conducted virtually,36100,Office,,,,,,,,,,,,,,,,,3,282250,105,105,30000
Medical Equipment Preparers,58036.33849,,,,,Healthcare Support,"Cannot work remotely, essential",36300,Institutional,,,,,,,,,,,,,,,,,3,284750,106,106,30000
Animal Control Workers,12190.81105,,,,,Protective Service,"Cannot work remotely, essential",36300,Institutional,,,,,,,,,,,,,,,,,3,287250,107,107,30000
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",32665.50638,,,,,Production,"Cannot work remotely, essential",36400,Industrial,,,,,,,,,,,,,,,,,3,289750,108,108,30000
Ophthalmic Medical Technicians,55530.50979,,,,,Healthcare Practitioners and Technical,"Cannot work remotely, essential",36500,Institutional,,,,,,,,,,,,,,,,,3,292250,109,109,30000
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2607967.808,,,,,Office and Admin Support,Job can be conducted virtually,36500,Office,,,,,,,,,,,,,,,,,3,294750,110,110,30000
Logging Equipment Operators,39206.29197,,,,,"Farming, Fishing, and Forestry","Cannot work remotely, essential",36800,Industrial,,,,,,,,,,,,,,,,,3,297250,111,111,30000
Photographers,134996.2615,,,,,"Arts, Design, Entertainment, Media",Job can be made virtual,37000,Industrial,,,,,,,,,,,,,,,,,3,299750,112,112,30000
Reservation and Transportation Ticket Agents and Travel Clerks,139073.5766,,,,,Office and Admin Support,"Cannot work remotely, non-essential",37000,Office,,,,,,,,,,,,,,,,,3,302250,113,113,30000
Animal Breeders,3711.035054,,,,,"Farming, Fishing, and Forestry","Cannot work remotely, essential",37000,Other/Mixed,,,,,,,,,,,,,,,,,3,304750,114,114,30000
Helpers--Extraction Workers,17542.12296,,,,,Construction and Extraction,"Cannot work remotely, essential",37100,Industrial,,,,,,,,,,,,,,,,,3,307250,115,115,30000
Forest and Conservation Technicians,34593.363,159,4901,18616,11591,"Life, Physical, and Social Science","Cannot work remotely, essential",37200,Other/Mixed,0.383719006,310,24202,18079,8767,13944,1617,0.062628297,22000,38000,9927,12037,3304,"(20124.0, 40124.0]",1,"(28500, 31000]",3,309750,116,116,30000
Telephone Operators,5958.877157,,,,,Office and Admin Support,Job can be conducted virtually,37200,Office,,,,,,,,,,,,,,,,,3,312250,117,117,30000
"Computer, Automated Teller, and Office Machine Repairers",123146.7981,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",37200,Industrial,,,,,,,,,,,,,,,,,3,314750,118,118,30000
"Mixing and Blending Machine Setters, Operators, and Tenders",130031.1005,,,,,Production,"Cannot work remotely, essential",37200,Industrial,,,,,,,,,,,,,,,,,3,317250,119,119,30000
Semiconductor Processors,26776.42397,,,,,Production,"Cannot work remotely, essential",37200,Industrial,,,,,,,,,,,,,,,,,3,319750,120,120,30000
First-Line Supervisors of Personal Service Workers,255249.0236,,,,,Personal Care and Service,"Cannot work remotely, non-essential",37300,Retail/Services,,,,,,,,,,,,,,,,,3,322250,121,121,30000
Correspondence Clerks,5409.738699,,,,,Office and Admin Support,Job can be conducted virtually,37300,Office,,,,,,,,,,,,,,,,,3,324750,122,122,30000
"Logging Workers, All Other",5311.651946,,,,,"Farming, Fishing, and Forestry","Cannot work remotely, essential",37300,Industrial,,,,,,,,,,,,,,,,,3,327250,123,123,30000
Electronic Home Entertainment Equipment Installers and Repairers,31870.56169,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",37300,Industrial,,,,,,,,,,,,,,,,,3,329750,124,124,30000
"Cooks, Private Household",1965.331128,,,,,Food Preparation and Serving,"Cannot work remotely, non-essential",37500,Retail/Services,,,,,,,,,,,,,,,,,3,332250,125,125,30000
First-Line Supervisors of Retail Sales Workers,1414395.163,,,,,Sales and Related,"Cannot work remotely, non-essential",37500,Retail/Services,,,,,,,,,,,,,,,,,3,334750,126,126,30000
Home Appliance Repairers,39939.38057,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",37500,Industrial,,,,,,,,,,,,,,,,,3,337250,127,127,30000
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",39103.84891,,,,,Production,"Cannot work remotely, essential",37500,Industrial,,,,,,,,,,,,,,,,,3,339750,128,128,30000
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",21028.69723,,,,,Production,"Cannot work remotely, essential",37500,Industrial,,,,,,,,,,,,,,,,,3,342250,129,129,30000
"Transportation Workers, All Other",40351.23853,,,,,Transportation and Material Moving,"Cannot work remotely, essential",37500,Industrial,,,,,,,,,,,,,,,,,3,344750,130,130,30000
Log Graders and Scalers,3936.069492,,,,,"Farming, Fishing, and Forestry","Cannot work remotely, essential",37600,Industrial,,,,,,,,,,,,,,,,,3,347250,131,131,30000
"Roustabouts, Oil and Gas",58831.39715,,,,,Construction and Extraction,"Cannot work remotely, essential",37600,Industrial,,,,,,,,,,,,,,,,,3,349750,132,132,30000
"Tool Grinders, Filers, and Sharpeners",8929.141731,,,,,Production,"Cannot work remotely, essential",37600,Industrial,,,,,,,,,,,,,,,,,3,352250,133,133,30000
Carpet Installers,39065.21006,,,,,Construction and Extraction,"Cannot work remotely, essential",37700,Industrial,,,,,,,,,,,,,,,,,3,354750,134,134,30000
"Pourers and Casters, Metal",8498.939098,,,,,Production,"Cannot work remotely, essential",37700,Industrial,,,,,,,,,,,,,,,,,3,357250,135,135,30000
"Opticians, Dispensing",73915.8636,,,,,Healthcare Practitioners and Technical,Job can be conducted virtually,37800,Institutional,,,,,,,,,,,,,,,,,3,359750,136,136,30000
Billing and Posting Clerks,488770.365,,,,,Office and Admin Support,Job can be conducted virtually,37800,Institutional,,,,,,,,,,,,,,,,,3,362250,137,137,30000
Roofers,166023.4423,,,,,Construction and Extraction,"Cannot work remotely, essential",37800,Industrial,,,,,,,,,,,,,,,,,3,364750,138,138,30000
"Healthcare Support Workers, All Other",96034.03481,,,,,Healthcare Support,"Cannot work remotely, essential",37900,Institutional,,,,,,,,,,,,,,,,,3,367250,139,139,30000
Word Processors and Typists,77489.81167,,,,,Office and Admin Support,Job can be conducted virtually,37900,Office,,,,,,,,,,,,,,,,,3,369750,140,140,30000
"Installation, Maintenance, and Repair Workers, All Other",203795.0242,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",37900,Industrial,,,,,,,,,,,,,,,,,3,372250,141,141,30000
Motorboat Mechanics and Service Technicians,27000.60466,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",38000,Industrial,,,,,,,,,,,,,,,,,3,374750,142,142,30000
Recreational Vehicle Service Technicians,16928.91387,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",38000,Industrial,,,,,,,,,,,,,,,,,3,377250,143,143,30000
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",13466.30064,,,,,Production,"Cannot work remotely, essential",38000,Industrial,,,,,,,,,,,,,,,,,3,379750,144,144,30000
First-Line Supervisors of Housekeeping and Janitorial Workers,200164.1492,,,,,Building and Grounds Cleaning and Maintenance,"Cannot work remotely, essential",38100,Other/Mixed,,,,,,,,,,,,,,,,,3,382250,145,145,30000
Proofreaders and Copy Markers,11856.67299,,,,,Office and Admin Support,Job can be conducted virtually,38100,Office,,,,,,,,,,,,,,,,,3,384750,146,146,30000
Automotive Service Technicians and Mechanics,778309.9068,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",38100,Industrial,,,,,,,,,,,,,,,,,3,387250,147,147,30000
Travel Agents,84358.05617,,,,,Sales and Related,Job can be conducted virtually,38200,Office,,,,,,,,,,,,,,,,,3,389750,148,148,30000
Stonemasons,16886.38678,,,,,Construction and Extraction,"Cannot work remotely, essential",38200,Industrial,,,,,,,,,,,,,,,,,3,392250,149,149,30000
"Insulation Workers, Floor, Ceiling, and Wall",34392.80118,,,,,Construction and Extraction,"Cannot work remotely, essential",38200,Industrial,,,,,,,,,,,,,,,,,3,394750,150,150,30000
"Maintenance and Repair Workers, General",1557300.352,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",38200,Industrial,,,,,,,,,,,,,,,,,3,397250,151,151,30000
"Entertainers and Performers, Sports and Related Workers, All Other",45093.51656,,,,,"Arts, Design, Entertainment, Media","Cannot work remotely, non-essential",38300,Other/Mixed,,,,,,,,,,,,,,,,,3,399750,152,152,30000
"Court, Municipal, and License Clerks",144830.7913,,,,,Office and Admin Support,Job can be made virtual,38300,Institutional,,,,,,,,,,,,,,,,,3,402250,153,153,30000
"Tank Car, Truck, and Ship Loaders",11007.14442,,,,,Transportation and Material Moving,"Cannot work remotely, essential",38300,Industrial,,,,,,,,,,,,,,,,,3,404750,154,154,30000
Pipelayers,45516.41971,,,,,Construction and Extraction,"Cannot work remotely, essential",38400,Industrial,,,,,,,,,,,,,,,,,3,407250,155,155,30000
"Inspectors, Testers, Sorters, Samplers, and Weighers",579559.276,,,,,Production,"Cannot work remotely, essential",38400,Industrial,,,,,,,,,,,,,,,,,3,409750,156,156,30000
Miscellaneous Construction and Related Workers,41824.97482,,,,,Construction and Extraction,"Cannot work remotely, essential",38600,Industrial,,,,,,,,,,,,,,,,,3,412250,157,157,30000
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",29159.75282,,,,,Production,"Cannot work remotely, essential",38600,Industrial,,,,,,,,,,,,,,,,,3,414750,158,158,30000
Dental Assistants,353175.3793,,,,,Healthcare Support,"Cannot work remotely, essential",38700,Institutional,,,,,,,,,,,,,,,,,3,417250,159,159,30000
"Paper Goods Machine Setters, Operators, and Tenders",98253.61768,,,,,Production,"Cannot work remotely, essential",38700,Industrial,,,,,,,,,,,,,,,,,3,419750,160,160,30000
Septic Tank Servicers and Sewer Pipe Cleaners,32553.97644,,,,,Construction and Extraction,"Cannot work remotely, essential",38800,Industrial,,,,,,,,,,,,,,,,,3,422250,161,161,30000
"Credit Authorizers, Checkers, and Clerks",30407.27352,,,,,Office and Admin Support,Job can be conducted virtually,38900,Office,,,,,,,,,,,,,,,,,3,424750,162,162,30000
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",21289.51215,,,,,Production,"Cannot work remotely, essential",38900,Industrial,,,,,,,,,,,,,,,,,3,427250,163,163,30000
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",32598.12936,,,,,Production,"Cannot work remotely, essential",39200,Industrial,,,,,,,,,,,,,,,,,3,429750,164,164,30000
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",18087.6674,,,,,Production,"Cannot work remotely, essential",39200,Industrial,,,,,,,,,,,,,,,,,3,432250,165,165,30000
Fitness Trainers and Aerobics Instructors,364560.9465,,,,,Personal Care and Service,Job can be made virtual,39300,Retail/Services,,,,,,,,,,,,,,,,,3,434750,166,166,30000
"Dispatchers, Except Police, Fire, and Ambulance",205362.3457,,,,,Office and Admin Support,Job can be made virtual,39300,Institutional,,,,,,,,,,,,,,,,,3,437250,167,167,30000
Locksmiths and Safe Repairers,24074.96184,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, non-essential",39300,Industrial,,,,,,,,,,,,,,,,,3,439750,168,168,30000
Structural Metal Fabricators and Fitters,80090.75777,,,,,Production,"Cannot work remotely, essential",39300,Industrial,,,,,,,,,,,,,,,,,3,442250,169,169,30000
Medical Appliance Technicians,15948.1998,,,,,Production,"Cannot work remotely, essential",39300,Industrial,,,,,,,,,,,,,,,,,3,444750,170,170,30000
Tile and Marble Setters,61976.88383,,,,,Construction and Extraction,"Cannot work remotely, essential",39500,Industrial,,,,,,,,,,,,,,,,,3,447250,171,171,30000
"Paving, Surfacing, and Tamping Equipment Operators",50466.24794,,,,,Construction and Extraction,"Cannot work remotely, essential",39500,Industrial,,,,,,,,,,,,,,,,,3,449750,172,172,30000
Community Health Workers,61401.64705,173,3501,134,964,Community and Social Service,Job can be made virtual,39600,Institutional,0.877959927,2,742,593,237,410,87,0.104945718,20000,22000,288,338,192,"(124.0, 20124.0]",1,"(21000, 23500]",3,452250,173,173,30000
Forest Fire Inspectors and Prevention Specialists,3073.450476,,,,,Protective Service,"Cannot work remotely, essential",39600,Institutional,,,,,,,,,,,,,,,,,3,454750,174,174,30000
Massage Therapists,179835.0294,,,,,Healthcare Support,"Cannot work remotely, essential",39700,Institutional,,,,,,,,,,,,,,,,,3,457250,175,175,30000
Insurance Claims and Policy Processing Clerks,276245.0821,,,,,Office and Admin Support,Job can be conducted virtually,39700,Office,,,,,,,,,,,,,,,,,3,459750,176,176,30000
Highway Maintenance Workers,149732.7643,,,,,Construction and Extraction,"Cannot work remotely, essential",39700,Industrial,,,,,,,,,,,,,,,,,3,462250,177,177,30000
Parking Enforcement Workers,10820.43312,,,,,Protective Service,"Cannot work remotely, non-essential",39800,Retail/Services,,,,,,,,,,,,,,,,,3,464750,178,178,30000
Loan Interviewers and Clerks,223504.5726,,,,,Office and Admin Support,Job can be made virtual,39900,Office,,,,,,,,,,,,,,,,,3,467250,179,179,30000
Actors,67812.16744,,,,,"Arts, Design, Entertainment, Media",Job can be made virtual,40000,Other/Mixed,,,,,,,,,,,,,,,,,4,22250,1,1,40000
Farm Equipment Mechanics and Service Technicians,37975.57042,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",40000,Industrial,,,,,,,,,,,,,,,,,4,24750,2,2,40000
Broadcast Technicians,34915.58521,,,,,"Arts, Design, Entertainment, Media",Job can be made virtual,40100,Industrial,,,,,,,,,,,,,,,,,4,27250,3,3,40000
"Computer-Controlled Machine Tool Operators, Metal and Plastic",152410.7162,,,,,Production,"Cannot work remotely, essential",40100,Industrial,,,,,,,,,,,,,,,,,4,29750,4,4,40000
Camera and Photographic Equipment Repairers,4104.593425,,,,,"Installation, Maintenance, and Repair","Cannot work remotely, essential",40200,Industrial,,,,,,,,,,,,,,,,,4,32250,5,5,40000
Reporters and Correspondents,42784.97704,,,,,"Arts, Design, Entertainment, Media",Job can be made virtual,40300,Industrial,,,,,,,,,,,,,,,,,4,34750,6,6,40000
"Bookkeeping, Accounting, and Auditing Clerks",1720301.278,,,,,Office and Admin Support,Job can be conducted virtually,40300,Office,,,,,,,,,,,,,,,,,4,37250,7,7,40000
"Floor Layers, Except Carpet, Wood, and Hard Tiles",22035.79733,,,,,Construction and Extraction,"Cannot work remotely, essential",40300,Industrial,,,,,,,,,,,,,,,,,4,39750,8,8,40000
Self-Enrichment Education Teachers,397357.1278,,,,,"Education, Training, and Library",Job can be made virtual,40400,Institutional,,,,,,,,,,,,,,,,,4,42250,9,9,40000
Medical Records and Health Information Technicians,216650.7379,,,,,Healthcare Practitioners and Technical,Job can be made virtual,40400,Institutional,,,,,,,,,,,,,,,,,4,44750,10,10,40000
"Human Resources Assistants, Except Payroll and Timekeeping",134780.3622,,,,,Office and Admin Support,Job can be conducted virtually,40400,Office,,,,,,,,,,,,,,,,,4,47250,11,11,40000
"Meter Readers, Utilities",35082.43903,,,,,Office and Admin Support,"Cannot work remotely, non-essential",40400,Industrial,,,,,,,,,,,,,,,,,4,49750,12,12,40000
Prepress Technicians and Workers,30347.1016,,,,,Production,"Cannot work remotely, non-essential",40400,Industrial,,,,,,,,,,,,,,,,,4,52250,13,13,40000
"Police, Fire, and Ambulance Dispatchers",99110.38524,,,,,Office and Admin Support,Job can be made virtual,40600,Institutional,,,,,,,,,,,,,,,,,4,54750,14,14,40000
Fabric and Apparel Patternmakers,5837.321815,,,,,Production,"Cannot work remotely, non-essential",40600,Industrial,,,,,,,,,,,,,,,,,4,57250,15,15,40000
Dental Laboratory Technicians,38648.97582,,,,,Production,"Cannot work remotely, essential",40600,Lab,,,,,,,,,,,,,,,,,4,59750,16,16,40000
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",52089.27228,,,,,Production,"Cannot work remotely, essential",40700,Industrial,,,,,,,,,,,,,,,,,4,62250,17,17,40000
"Directors, Religious Activities and Education",155588.3258,,,,,Community and Social Service,Job can be made virtual,40800,Institutional,,,,,,,,,,,,,,,,,4,64750,18,18,40000
"Information and Record Clerks, All Other",177647.3435,,,,,Office and Admin Support,Job can be conducted virtually,40900,Office,,,,,,,,,,,,,,,,,4,67250,19,19,40000
Drywall and Ceiling Tile Installers,133776.6125,,,,,Construction and Extraction,"Cannot work remotely, essential",40900,Industrial,,,,,,,,,,,,,,,,,4,69750,20,20,40000
